Month,Actual,Predicted
2022-09,2,2.0000343
2022-09,1,1.0000943
2022-09,1,1.0000943
2022-10,1,1.0000943
2022-10,1,1.0000943
2022-10,1,1.0000943
2022-10,1,1.0000943
2022-10,1,1.0000943
2022-11,1,1.0000943
2022-11,1,1.0000943
2022-11,1,1.0000943
2022-11,1,1.0000943
2022-11,1,1.0000943
2022-12,1,1.0000943
2022-12,1,1.0000943
2023-01,1,1.0000943
2023-01,1,1.0000943
2023-01,2,2.0000343
2023-01,5,4.9999757
2023-01,14,13.999542
2023-01,18,17.998474
2023-01,3,3.0000074
2023-01,4,3.9999979
2023-01,1,1.0000943
2023-01,1,1.0000943
2023-01,5,4.9999757
2023-02,1,1.0000943
2023-02,1,1.0000943
2023-02,2,2.0000343
2023-02,13,12.999597
2023-02,4,3.9999979
2023-02,4,3.9999979
2023-02,2,2.0000343
2023-02,4,3.9999979
2023-02,2,2.0000343
2023-02,25,23.886995
2023-03,1,1.0000943
2023-03,1,1.0000943
2023-03,1,1.0000943
2023-03,2,2.0000343
2023-03,8,7.9998355
2023-03,2,2.0000343
2023-03,6,5.9999456
2023-03,1,1.0000943
2023-03,1,1.0000943
2023-03,18,17.998474
2023-04,1,1.0000943
2023-04,1,1.0000943
2023-04,2,2.0000343
2023-04,5,4.9999757
2023-04,1,1.0000943
2023-04,1,1.0000943
2023-04,4,3.9999979
2023-04,5,4.9999757
2023-04,4,3.9999979
2023-04,10,9.99978
2023-04,17,16.99921
2023-04,3,3.0000074
2023-04,4,3.9999979
2023-04,1,1.0000943
2023-04,1,1.0000943
2023-04,1,1.0000943
2023-05,2,2.0000343
2023-05,1,1.0000943
2023-05,3,3.0000074
2023-05,3,3.0000074
2023-05,3,3.0000074
2023-05,4,3.9999979
2023-05,2,2.0000343
2023-05,3,3.0000074
2023-05,5,4.9999757
2023-05,4,3.9999979
2023-05,1,1.0000943
2023-05,4,3.9999979
2023-05,12,11.999688
2023-05,2,2.0000343
2023-05,4,3.9999979
2023-05,3,3.0000074
2023-05,1,1.0000943
2023-05,2,2.0000343
2023-05,6,5.9999456
2023-05,15,14.999403
2023-05,9,8.999813
2023-05,3,3.0000074
2023-05,1,1.0000943
2023-05,5,4.9999757
